"BKK"," VTBD"," Bangkok"," Bangkok Intl Airport"," Thailand","49191","48842.9433628325","45572","5686252","5692284","5696409","50568902  ","50972772  ","56515597  ","31988047  ","32830273  ","35645681  ","18580855  ","18142499  ","20869916  ","37145237  ","37097326  ","41283511  ","19677487  ","20065603  ","21696700  ","17467750  ","17031723  ","19586811  "
"CNX"," VTCC"," Chiang Mai"," Chiang Mai Intl Airport"," Thailand","14393","16686.0495575225","14950","1666888","1678284","1728242","7089792  ","8665502  ","9286307  ","4747887  ","6064177  ","6451283  ","2341905  ","2601325  ","2835024  ","5590080  ","6928155  ","7425772  ","3463116  ","4560660  ","4841681  ","2126964  ","2367495  ","2584091  "
"CEI"," VTCT"," Chiang Rai"," Chiang Rai Intl Airport"," Thailand","13510","14492.7115044248","13497","1204660","1207699","1277950","2909804  ","2869008  ","3078976  ","2383306  ","2351184  ","2521249  ","526498  ","517824  ","557727  ","2549554  ","2506891  ","2686034  ","2090664  ","2057389  ","2201902  ","458890  ","449502  ","484132  "
"QHI"," VTBS"," Chonburi (Chon Buri)"," Sattahip Airport"," Thailand","28367","27729.2707964606","27257","1390354","1421425","1455039","11736488  ","10843412  ","11742224  ","4520383  ","4367710  ","4784716  ","7216105  ","6475702  ","6957508  ","10167469  ","9246430  ","10002914  ","3097378  ","2909259  ","3199439  ","7070091  ","6337171  ","6803475  "
"HDY"," VTSS"," Hat Yai  Songkhla"," Hat Yai Intl Airport"," Thailand","26824","28551.653097346","27660","1389890","1401303","1410577","5763439","6124972","6524676","3551191","3831735","4038146","2212248","2293237","2486530","4802574","5097694","5427668","2753763","2975335","3127541","2048811","2122359","2300127"
"HHQ"," VTPH"," Hua Hin  Prachuap Khiri Khan"," Hua Hin Airport"," Thailand","28459","23701.7929203541","23523","520271","525107","534719","4417025  ","4660994  ","4835371  ","3500499  ","3730557  ","3868173  ","916526  ","930437  ","967198  ","2770413  ","2954914  ","3045229  ","1984043  ","2161675  ","2223244  ","786370  ","793239  ","821985  "
"KKC"," VTUK"," Khon Kaen"," Khon Kaen Airport"," Thailand","18095","19439.637168142","21337","1781655","1790049","1798014","3593042  ","3669884  ","3881646  ","3531828  ","3609152  ","3818917  ","61214  ","60732  ","62729  ","2356736  ","2392986  ","2493113  ","2316175  ","2352917  ","2452004  ","40561  ","40069  ","41109  "
"KBV"," VTSG"," Krabi"," Krabi Airport"," Thailand","27276","30604.288495576","31012","450890","456811","462101","3761234  ","4735217  ","5575541  ","1765243  ","1952598  ","2087433  ","1995991  ","2782619  ","3488108  ","3275495  ","3392747  ","3557409  ","1503279  ","1572045  ","1650174  ","1772216  ","1820702  ","1907235  "
"LPT"," VTCL"," Lampang"," Lampang Airport"," Thailand","19262","18859.8407079647","20466","754862","753013","752356","761823  ","804161  ","859083  ","687412  ","727765  ","780159  ","74411  ","76396  ","78924  ","456901  ","483882  ","513779  ","411641  ","437615  ","466040  ","45260  ","46267  ","47739  "
"LOE"," VTUL"," Loei"," Loei Airport"," Thailand","16338","18443.5592920354","20990","632205","634513","638819","1512855  ","1581951  ","1933122  ","1480817  ","1548723  ","1897358  ","32038  ","33228  ","35764  ","829611  ","879670  ","1087948  ","810543  ","860108  ","1066972  ","19068  ","19562  ","20976  "
"HGN"," VTCH"," Mae Hong Son"," Mae Hong Son Airport"," Thailand","8821","10974.3415929205","15119","246549","248178","273764","748827  ","769563  ","799607  ","561977  ","582432  ","607490  ","186850  ","187131  ","192117  ","718250  ","738229  ","769121  ","538734  ","558605  ","584764  ","179516  ","179624  ","184357  "
"MAQ"," VTPM"," Mae Sot"," Mae Sot Airport"," Thailand","17020","16545.9185840711","20079","532353","539553","618382","1653513  ","1757187  ","1904751  ","1618293  ","1721389  ","1866591  ","35220  ","35798  ","38160  ","1308642  ","1393765  ","1505422  ","1289263  ","1374231  ","1484967  ","19379  ","19534  ","20455  "
"KOP"," VTUW"," Nakhon Phanom"," Nakhon Phanom Airport"," Thailand","14310","15010.3362831862","15804","710860","713341","715399","873925  ","913138  ","982620  ","801441  ","838857  ","905501  ","72484  ","74281  ","77119  ","397334  ","415255  ","447779  ","388099  ","405911  ","438117  ","9235  ","9344  ","9662  "
"NAK"," VTUQ"," Nakhon Ratchasima (Khorat)"," Nakhon Ratchasima Airport"," Thailand","22479","23326.9398230091","26376","2610164","2620517","2628818","6804563  ","7063059  ","7879571  ","6677142  ","6930725  ","7737834  ","127421  ","132334  ","141737  ","3934041  ","4114261  ","4597649  ","3842727  ","4019347  ","4497367  ","91314  ","94914  ","100282  "
"NST"," VTSN"," Nakhon Si Thammarat"," Cha Ian Airport"," Thailand","27479","27724.7362831868","25124","1541843","1548028","1552530","2700594  ","3091896  ","3429760  ","2649303  ","3033126  ","3357376  ","51291  ","58770  ","72384  ","2026681  ","2313689  ","2565745  ","1989873  ","2272130  ","2520843  ","36808  ","41559  ","44902  "
