"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"PG","USM","BKK","59510.0","106.0","36865.0","49191.0","1031812.0","5686252.0","Jan2013","706.0","82128.0","116.328611898017","52480.0","465.0","72.0","8.0"
"PG","USM","BKK","53981.0","111.0","36865.0","49191.0","1031812.0","5686252.0","Feb2013","673.0","77524.0","115.19167904903418","50295.0","465.0","72.0","8.0"
"PG","USM","BKK","52252.0","108.0","36865.0","49191.0","1031812.0","5686252.0","Mar2013","639.0","73516.0","115.04851330203442","47785.0","465.0","72.0","8.0"
"PG","USM","BKK","45250.0","104.0","36865.0","49191.0","1031812.0","5686252.0","Apr2013","631.0","79690.0","126.29160063391443","44790.0","465.0","72.0","8.0"
"PG","USM","BKK","39806.0","102.0","36865.0","49191.0","1031812.0","5686252.0","May2013","569.0","68884.0","121.06151142355009","40385.0","465.0","72.0","8.0"
"PG","USM","BKK","34970.0","102.0","36865.0","49191.0","1031812.0","5686252.0","Jun2013","534.0","66450.0","124.43820224719101","36960.0","465.0","72.0","8.0"
"PG","USM","BKK","49465.0","110.0","36865.0","49191.0","1031812.0","5686252.0","Jul2013","648.0","80730.0","124.58333333333333","45120.0","465.0","72.0","8.0"
"PG","USM","BKK","73053.0","112.0","36865.0","49191.0","1031812.0","5686252.0","Aug2013","772.0","91310.0","118.27720207253886","55105.0","465.0","72.0","8.0"
"PG","USM","BKK","91031.0","110.0","36865.0","49191.0","1031812.0","5686252.0","Sep2013","569.0","66890.0","117.55711775043936","40860.0","465.0","72.0","8.0"
"PG","USM","BKK","38581.0","108.0","36865.0","49191.0","1031812.0","5686252.0","Oct2013","574.0","69930.0","121.82926829268293","40460.0","465.0","72.0","8.0"
"PG","USM","BKK","33069.0","113.0","36865.0","49191.0","1031812.0","5686252.0","Nov2013","530.0","63558.0","119.92075471698114","37450.0","465.0","72.0","8.0"
"PG","USM","BKK","38592.0","116.0","36865.0","49191.0","1031812.0","5686252.0","Dec2013","667.0","76772.0","115.10044977511244","48130.0","465.0","72.0","8.0"
"TG","CNX","BKK","56842.0","116.0","14393.0","49191.0","1666888.0","5686252.0","Jan2013","310.0","89039.0","287.2225806451613","22630.0","565.0","142.0","7.0"
"TG","CNX","BKK","51992.0","124.0","14393.0","49191.0","1666888.0","5686252.0","Feb2013","280.0","80443.0","287.2964285714286","20440.0","565.0","142.0","7.0"
"TG","CNX","BKK","49214.0","111.0","14393.0","49191.0","1666888.0","5686252.0","Mar2013","309.0","87118.0","281.93527508090614","22560.0","565.0","142.0","7.0"
"TG","CNX","BKK","39061.0","111.0","14393.0","49191.0","1666888.0","5686252.0","Apr2013","270.0","73599.0","272.5888888888889","19800.0","565.0","142.0","7.0"
"TG","CNX","BKK","42486.0","112.0","14393.0","49191.0","1666888.0","5686252.0","May2013","263.0","71433.0","271.6083650190114","19180.0","565.0","142.0","7.0"
"TG","CNX","BKK","37526.0","113.0","14393.0","49191.0","1666888.0","5686252.0","Jun2013","240.0","64878.0","270.325","17400.0","565.0","142.0","7.0"
"TG","CNX","BKK","46558.0","122.0","14393.0","49191.0","1666888.0","5686252.0","Jul2013","248.0","68866.0","277.68548387096774","17980.0","565.0","142.0","7.0"
"TG","CNX","BKK","46653.0","88.0","14393.0","49191.0","1666888.0","5686252.0","Aug2013","248.0","67899.0","273.78629032258067","17980.0","565.0","142.0","7.0"
"TG","CNX","BKK","46329.0","87.0","14393.0","49191.0","1666888.0","5686252.0","Sep2013","240.0","65615.0","273.3958333333333","17400.0","565.0","142.0","7.0"
"TG","CNX","BKK","43684.0","88.0","14393.0","49191.0","1666888.0","5686252.0","Oct2013","284.0","80919.0","284.92605633802816","20810.0","565.0","142.0","7.0"
"TG","CNX","BKK","51470.0","88.0","14393.0","49191.0","1666888.0","5686252.0","Nov2013","306.0","80690.0","263.6928104575163","22410.0","565.0","142.0","7.0"
"TG","CNX","BKK","50817.0","91.0","14393.0","49191.0","1666888.0","5686252.0","Dec2013","341.0","88453.0","259.3929618768328","25110.0","565.0","142.0","7.0"
"TG","HKT","BKK","49391.0","126.0","31857.0","49191.0","369522.0","5686252.0","Jan2013","295.0","90048.0","305.24745762711865","25385.0","673.0","142.0","7.0"
"TG","HKT","BKK","44216.0","133.0","31857.0","49191.0","369522.0","5686252.0","Feb2013","296.0","86213.0","291.26013513513516","25440.0","673.0","142.0","7.0"
"TG","HKT","BKK","45551.0","119.0","31857.0","49191.0","369522.0","5686252.0","Mar2013","330.0","96497.0","292.41515151515154","28360.0","673.0","142.0","7.0"
"TG","HKT","BKK","39377.0","119.0","31857.0","49191.0","369522.0","5686252.0","Apr2013","313.0","91388.0","291.9744408945687","26905.0","673.0","142.0","7.0"
"TG","HKT","BKK","41536.0","112.0","31857.0","49191.0","369522.0","5686252.0","May2013","323.0","93532.0","289.57275541795667","27765.0","673.0","142.0","7.0"
"TG","HKT","BKK","37490.0","113.0","31857.0","49191.0","369522.0","5686252.0","Jun2013","328.0","94829.0","289.1128048780488","28180.0","673.0","142.0","7.0"
"TG","HKT","BKK","41523.0","121.0","31857.0","49191.0","369522.0","5686252.0","Jul2013","344.0","99769.0","290.0261627906977","29550.0","673.0","142.0","7.0"
"TG","HKT","BKK","51598.0","89.0","31857.0","49191.0","369522.0","5686252.0","Aug2013","346.0","100044.0","289.1445086705202","29720.0","673.0","142.0","7.0"
"TG","HKT","BKK","40646.0","88.0","31857.0","49191.0","369522.0","5686252.0","Sep2013","334.0","97166.0","290.91616766467064","28690.0","673.0","142.0","7.0"
"TG","HKT","BKK","37690.0","92.0","31857.0","49191.0","369522.0","5686252.0","Oct2013","339.0","98131.0","289.4719764011799","29125.0","673.0","142.0","7.0"
"TG","HKT","BKK","37168.0","93.0","31857.0","49191.0","369522.0","5686252.0","Nov2013","309.0","91175.0","295.06472491909386","26565.0","673.0","142.0","7.0"
"TG","HKT","BKK","35137.0","96.0","31857.0","49191.0","369522.0","5686252.0","Dec2013","319.0","93845.0","294.1849529780564","27425.0","673.0","142.0","7.0"
"TG","BKK","CNX","47426.0","98.0","49191.0","14393.0","5686252.0","1666888.0","Jan2013","310.0","89039.0","287.2225806451613","22630.0","565.0","142.0","7.0"
"TG","BKK","CNX","45121.0","99.0","49191.0","14393.0","5686252.0","1666888.0","Feb2013","280.0","80443.0","287.2964285714286","20440.0","565.0","142.0","7.0"
"TG","BKK","CNX","42655.0","91.0","49191.0","14393.0","5686252.0","1666888.0","Mar2013","309.0","87118.0","281.93527508090614","22560.0","565.0","142.0","7.0"
"TG","BKK","CNX","34332.0","92.0","49191.0","14393.0","5686252.0","1666888.0","Apr2013","270.0","73599.0","272.5888888888889","19800.0","565.0","142.0","7.0"
"TG","BKK","CNX","38483.0","91.0","49191.0","14393.0","5686252.0","1666888.0","May2013","263.0","71433.0","271.6083650190114","19180.0","565.0","142.0","7.0"
"TG","BKK","CNX","34887.0","83.0","49191.0","14393.0","5686252.0","1666888.0","Jun2013","240.0","64923.0","270.5125","17400.0","565.0","142.0","7.0"
"TG","BKK","CNX","42886.0","86.0","49191.0","14393.0","5686252.0","1666888.0","Jul2013","248.0","68821.0","277.5040322580645","17980.0","565.0","142.0","7.0"
"TG","BKK","CNX","41207.0","88.0","49191.0","14393.0","5686252.0","1666888.0","Aug2013","248.0","67899.0","273.78629032258067","17980.0","565.0","142.0","7.0"
"TG","BKK","CNX","42723.0","87.0","49191.0","14393.0","5686252.0","1666888.0","Sep2013","240.0","65615.0","273.3958333333333","17400.0","565.0","142.0","7.0"
"TG","BKK","CNX","40583.0","94.0","49191.0","14393.0","5686252.0","1666888.0","Oct2013","284.0","80919.0","284.92605633802816","20810.0","565.0","142.0","7.0"
"TG","BKK","CNX","46438.0","94.0","49191.0","14393.0","5686252.0","1666888.0","Nov2013","306.0","80690.0","263.6928104575163","22410.0","565.0","142.0","7.0"
"TG","BKK","CNX","51604.0","96.0","49191.0","14393.0","5686252.0","1666888.0","Dec2013","341.0","88453.0","259.3929618768328","25110.0","565.0","142.0","7.0"
"PG","BKK","USM","45585.0","107.0","49191.0","36865.0","5686252.0","1031812.0","Jan2013","675.0","77664.0","115.05777777777777","50320.0","465.0","72.0","8.0"
"PG","BKK","USM","48281.0","111.0","49191.0","36865.0","5686252.0","1031812.0","Feb2013","645.0","73492.0","113.94108527131783","48335.0","465.0","72.0","8.0"
"PG","BKK","USM","44919.0","108.0","49191.0","36865.0","5686252.0","1031812.0","Mar2013","608.0","69052.0","113.57236842105263","45615.0","465.0","72.0","8.0"
"PG","BKK","USM","38058.0","103.0","49191.0","36865.0","5686252.0","1031812.0","Apr2013","601.0","75370.0","125.40765391014975","42690.0","465.0","72.0","8.0"
"PG","BKK","USM","31840.0","101.0","49191.0","36865.0","5686252.0","1031812.0","May2013","538.0","64252.0","119.4275092936803","38215.0","465.0","72.0","8.0"
