"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"PG","USM","BKK","59510.0","106.0","36865.0","49191.0","1031812.0","5686252.0","Jan2013","706.0","82128.0","116.328611898017","52480.0","465.0","72.0","8.0"
"PG","USM","BKK","53981.0","111.0","36865.0","49191.0","1031812.0","5686252.0","Feb2013","673.0","77524.0","115.19167904903418","50295.0","465.0","72.0","8.0"
"PG","USM","BKK","52252.0","108.0","36865.0","49191.0","1031812.0","5686252.0","Mar2013","639.0","73516.0","115.04851330203442","47785.0","465.0","72.0","8.0"
"PG","USM","BKK","45250.0","104.0","36865.0","49191.0","1031812.0","5686252.0","Apr2013","631.0","79690.0","126.29160063391443","44790.0","465.0","72.0","8.0"
"PG","USM","BKK","39806.0","102.0","36865.0","49191.0","1031812.0","5686252.0","May2013","569.0","68884.0","121.06151142355009","40385.0","465.0","72.0","8.0"
"PG","USM","BKK","34970.0","102.0","36865.0","49191.0","1031812.0","5686252.0","Jun2013","534.0","66450.0","124.43820224719101","36960.0","465.0","72.0","8.0"
"PG","USM","BKK","49465.0","110.0","36865.0","49191.0","1031812.0","5686252.0","Jul2013","648.0","80730.0","124.58333333333333","45120.0","465.0","72.0","8.0"
"PG","USM","BKK","73053.0","112.0","36865.0","49191.0","1031812.0","5686252.0","Aug2013","772.0","91310.0","118.27720207253886","55105.0","465.0","72.0","8.0"
"PG","USM","BKK","91031.0","110.0","36865.0","49191.0","1031812.0","5686252.0","Sep2013","569.0","66890.0","117.55711775043936","40860.0","465.0","72.0","8.0"
"PG","USM","BKK","38581.0","108.0","36865.0","49191.0","1031812.0","5686252.0","Oct2013","574.0","69930.0","121.82926829268293","40460.0","465.0","72.0","8.0"
"PG","USM","BKK","33069.0","113.0","36865.0","49191.0","1031812.0","5686252.0","Nov2013","530.0","63558.0","119.92075471698114","37450.0","465.0","72.0","8.0"
"PG","USM","BKK","38592.0","116.0","36865.0","49191.0","1031812.0","5686252.0","Dec2013","667.0","76772.0","115.10044977511244","48130.0","465.0","72.0","8.0"
"PG","USM","BKK","66268.0","133.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Jan2014","690.0","81412.0","117.98840579710145","49150.0","465.0","72.0","8.0"
"PG","USM","BKK","55025.0","131.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Feb2014","562.0","65672.0","116.8540925266904","40630.0","465.0","72.0","8.0"
"PG","USM","BKK","49987.0","127.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Mar2014","621.0","72196.0","116.25764895330113","44815.0","465.0","72.0","8.0"
"PG","USM","BKK","43049.0","123.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Apr2014","619.0","71646.0","115.74474959612277","44735.0","465.0","72.0","8.0"
"PG","USM","BKK","36536.0","119.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","May2014","518.0","64206.0","123.94980694980696","35770.0","465.0","72.0","8.0"
"PG","USM","BKK","33833.0","111.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Jun2014","479.0","58144.0","121.38622129436325","33635.0","465.0","72.0","8.0"
"PG","USM","BKK","43459.0","118.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Jul2014","579.0","69084.0","119.3160621761658","41160.0","465.0","72.0","8.0"
"PG","USM","BKK","65504.0","121.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Aug2014","691.0","82198.0","118.95513748191027","49140.0","465.0","72.0","8.0"
"PG","USM","BKK","32285.0","105.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Sep2014","566.0","66436.0","117.37809187279152","40490.0","465.0","72.0","8.0"
"PG","USM","BKK","38476.0","96.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Oct2014","553.0","65442.0","118.33996383363473","39695.0","465.0","72.0","8.0"
"PG","USM","BKK","26675.0","92.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Nov2014","451.0","51698.0","114.62971175166297","32590.0","465.0","72.0","8.0"
"PG","USM","BKK","36200.0","92.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Dec2014","619.0","69550.0","112.35864297253634","45360.0","465.0","72.0","8.0"
"PG","USM","BKK","53823.0","94.0","36466.0","45572.0","1046772.0","5696409.0","Jan2015","650.0","71164.0","109.48307692307692","48350.0","465.0","72.0","8.0"
"PG","USM","BKK","50310.0","92.0","36466.0","45572.0","1046772.0","5696409.0","Feb2015","572.0","63470.0","110.96153846153847","42405.0","465.0","72.0","8.0"
"PG","USM","BKK","46370.0","90.0","36466.0","45572.0","1046772.0","5696409.0","Mar2015","601.0","66510.0","110.66555740432612","44990.0","465.0","72.0","8.0"
"PG","USM","BKK","46623.0","86.0","36466.0","45572.0","1046772.0","5696409.0","Apr2015","621.0","74064.0","119.26570048309179","44190.0","465.0","72.0","8.0"
"PG","USM","BKK","36526.0","83.0","36466.0","45572.0","1046772.0","5696409.0","May2015","538.0","67172.0","124.85501858736059","37495.0","465.0","72.0","8.0"
"PG","USM","BKK","31890.0","78.0","36466.0","45572.0","1046772.0","5696409.0","Jun2015","531.0","66702.0","125.61581920903954","36990.0","465.0","72.0","8.0"
"PG","USM","BKK","49203.0","77.0","36466.0","45572.0","1046772.0","5696409.0","Jul2015","621.0","75688.0","121.88083735909822","43915.0","465.0","72.0","8.0"
"PG","USM","BKK","69081.0","77.0","36466.0","45572.0","1046772.0","5696409.0","Aug2015","687.0","83438.0","121.45269286754002","48680.0","465.0","72.0","8.0"
"PG","USM","BKK","40445.0","75.0","36466.0","45572.0","1046772.0","5696409.0","Sep2015","576.0","71364.0","123.89583333333333","40440.0","465.0","72.0","8.0"
"PG","USM","BKK","38270.0","73.0","36466.0","45572.0","1046772.0","5696409.0","Oct2015","560.0","69199.0","123.56964285714285","39300.0","465.0","72.0","8.0"
"PG","USM","BKK","29949.0","72.0","36466.0","45572.0","1046772.0","5696409.0","Nov2015","477.0","55624.0","116.61215932914047","34030.0","465.0","72.0","8.0"
"PG","USM","BKK","38396.0","72.0","36466.0","45572.0","1046772.0","5696409.0","Dec2015","701.0","80260.0","114.49358059914408","50915.0","465.0","72.0","8.0"
"TG","CNX","BKK","56842.0","116.0","14393.0","49191.0","1666888.0","5686252.0","Jan2013","310.0","89039.0","287.2225806451613","22630.0","565.0","142.0","7.0"
"TG","CNX","BKK","51992.0","124.0","14393.0","49191.0","1666888.0","5686252.0","Feb2013","280.0","80443.0","287.2964285714286","20440.0","565.0","142.0","7.0"
"TG","CNX","BKK","49214.0","111.0","14393.0","49191.0","1666888.0","5686252.0","Mar2013","309.0","87118.0","281.93527508090614","22560.0","565.0","142.0","7.0"
"TG","CNX","BKK","39061.0","111.0","14393.0","49191.0","1666888.0","5686252.0","Apr2013","270.0","73599.0","272.5888888888889","19800.0","565.0","142.0","7.0"
"TG","CNX","BKK","42486.0","112.0","14393.0","49191.0","1666888.0","5686252.0","May2013","263.0","71433.0","271.6083650190114","19180.0","565.0","142.0","7.0"
"TG","CNX","BKK","37526.0","113.0","14393.0","49191.0","1666888.0","5686252.0","Jun2013","240.0","64878.0","270.325","17400.0","565.0","142.0","7.0"
"TG","CNX","BKK","46558.0","122.0","14393.0","49191.0","1666888.0","5686252.0","Jul2013","248.0","68866.0","277.68548387096774","17980.0","565.0","142.0","7.0"
"TG","CNX","BKK","46653.0","88.0","14393.0","49191.0","1666888.0","5686252.0","Aug2013","248.0","67899.0","273.78629032258067","17980.0","565.0","142.0","7.0"
"TG","CNX","BKK","46329.0","87.0","14393.0","49191.0","1666888.0","5686252.0","Sep2013","240.0","65615.0","273.3958333333333","17400.0","565.0","142.0","7.0"
"TG","CNX","BKK","43684.0","88.0","14393.0","49191.0","1666888.0","5686252.0","Oct2013","284.0","80919.0","284.92605633802816","20810.0","565.0","142.0","7.0"
"TG","CNX","BKK","51470.0","88.0","14393.0","49191.0","1666888.0","5686252.0","Nov2013","306.0","80690.0","263.6928104575163","22410.0","565.0","142.0","7.0"
"TG","CNX","BKK","50817.0","91.0","14393.0","49191.0","1666888.0","5686252.0","Dec2013","341.0","88453.0","259.3929618768328","25110.0","565.0","142.0","7.0"
"TG","CNX","BKK","48497.0","104.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","Jan2014","331.0","88298.0","266.761329305136","24290.0","565.0","142.0","7.0"
"TG","CNX","BKK","45057.0","101.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","Feb2014","280.0","75257.0","268.775","20440.0","565.0","142.0","7.0"
"TG","CNX","BKK","40372.0","94.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","Mar2014","300.0","78690.0","262.3","21870.0","565.0","142.0","7.0"
"TG","CNX","BKK","28516.0","102.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","Apr2014","223.0","63080.0","282.86995515695065","16510.0","565.0","142.0","7.0"
