"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"PG","USM","BKK","59510.0","106.0","36865.0","49191.0","1031812.0","5686252.0","Jan2013","706.0","82128.0","116.328611898017","52480.0","465.0","72.0","8.0"
"PG","USM","BKK","53981.0","111.0","36865.0","49191.0","1031812.0","5686252.0","Feb2013","673.0","77524.0","115.19167904903418","50295.0","465.0","72.0","8.0"
"PG","USM","BKK","52252.0","108.0","36865.0","49191.0","1031812.0","5686252.0","Mar2013","639.0","73516.0","115.04851330203442","47785.0","465.0","72.0","8.0"
"PG","USM","BKK","45250.0","104.0","36865.0","49191.0","1031812.0","5686252.0","Apr2013","631.0","79690.0","126.29160063391443","44790.0","465.0","72.0","8.0"
"PG","USM","BKK","39806.0","102.0","36865.0","49191.0","1031812.0","5686252.0","May2013","569.0","68884.0","121.06151142355009","40385.0","465.0","72.0","8.0"
"PG","USM","BKK","34970.0","102.0","36865.0","49191.0","1031812.0","5686252.0","Jun2013","534.0","66450.0","124.43820224719101","36960.0","465.0","72.0","8.0"
"TG","CNX","BKK","56842.0","116.0","14393.0","49191.0","1666888.0","5686252.0","Jan2013","310.0","89039.0","287.2225806451613","22630.0","565.0","142.0","7.0"
"TG","CNX","BKK","51992.0","124.0","14393.0","49191.0","1666888.0","5686252.0","Feb2013","280.0","80443.0","287.2964285714286","20440.0","565.0","142.0","7.0"
"TG","CNX","BKK","49214.0","111.0","14393.0","49191.0","1666888.0","5686252.0","Mar2013","309.0","87118.0","281.93527508090614","22560.0","565.0","142.0","7.0"
"TG","CNX","BKK","39061.0","111.0","14393.0","49191.0","1666888.0","5686252.0","Apr2013","270.0","73599.0","272.5888888888889","19800.0","565.0","142.0","7.0"
"TG","CNX","BKK","42486.0","112.0","14393.0","49191.0","1666888.0","5686252.0","May2013","263.0","71433.0","271.6083650190114","19180.0","565.0","142.0","7.0"
"TG","CNX","BKK","37526.0","113.0","14393.0","49191.0","1666888.0","5686252.0","Jun2013","240.0","64878.0","270.325","17400.0","565.0","142.0","7.0"
"TG","HKT","BKK","49391.0","126.0","31857.0","49191.0","369522.0","5686252.0","Jan2013","295.0","90048.0","305.24745762711865","25385.0","673.0","142.0","7.0"
"TG","HKT","BKK","44216.0","133.0","31857.0","49191.0","369522.0","5686252.0","Feb2013","296.0","86213.0","291.26013513513516","25440.0","673.0","142.0","7.0"
"TG","HKT","BKK","45551.0","119.0","31857.0","49191.0","369522.0","5686252.0","Mar2013","330.0","96497.0","292.41515151515154","28360.0","673.0","142.0","7.0"
"TG","HKT","BKK","39377.0","119.0","31857.0","49191.0","369522.0","5686252.0","Apr2013","313.0","91388.0","291.9744408945687","26905.0","673.0","142.0","7.0"
"TG","HKT","BKK","41536.0","112.0","31857.0","49191.0","369522.0","5686252.0","May2013","323.0","93532.0","289.57275541795667","27765.0","673.0","142.0","7.0"
"TG","HKT","BKK","37490.0","113.0","31857.0","49191.0","369522.0","5686252.0","Jun2013","328.0","94829.0","289.1128048780488","28180.0","673.0","142.0","7.0"
"TG","BKK","CNX","47426.0","98.0","49191.0","14393.0","5686252.0","1666888.0","Jan2013","310.0","89039.0","287.2225806451613","22630.0","565.0","142.0","7.0"
"TG","BKK","CNX","45121.0","99.0","49191.0","14393.0","5686252.0","1666888.0","Feb2013","280.0","80443.0","287.2964285714286","20440.0","565.0","142.0","7.0"
"TG","BKK","CNX","42655.0","91.0","49191.0","14393.0","5686252.0","1666888.0","Mar2013","309.0","87118.0","281.93527508090614","22560.0","565.0","142.0","7.0"
"TG","BKK","CNX","34332.0","92.0","49191.0","14393.0","5686252.0","1666888.0","Apr2013","270.0","73599.0","272.5888888888889","19800.0","565.0","142.0","7.0"
"TG","BKK","CNX","38483.0","91.0","49191.0","14393.0","5686252.0","1666888.0","May2013","263.0","71433.0","271.6083650190114","19180.0","565.0","142.0","7.0"
"TG","BKK","CNX","34887.0","83.0","49191.0","14393.0","5686252.0","1666888.0","Jun2013","240.0","64923.0","270.5125","17400.0","565.0","142.0","7.0"
"PG","BKK","USM","45585.0","107.0","49191.0","36865.0","5686252.0","1031812.0","Jan2013","675.0","77664.0","115.05777777777777","50320.0","465.0","72.0","8.0"
"PG","BKK","USM","48281.0","111.0","49191.0","36865.0","5686252.0","1031812.0","Feb2013","645.0","73492.0","113.94108527131783","48335.0","465.0","72.0","8.0"
"PG","BKK","USM","44919.0","108.0","49191.0","36865.0","5686252.0","1031812.0","Mar2013","608.0","69052.0","113.57236842105263","45615.0","465.0","72.0","8.0"
"PG","BKK","USM","38058.0","103.0","49191.0","36865.0","5686252.0","1031812.0","Apr2013","601.0","75370.0","125.40765391014975","42690.0","465.0","72.0","8.0"
"PG","BKK","USM","31840.0","101.0","49191.0","36865.0","5686252.0","1031812.0","May2013","538.0","64252.0","119.4275092936803","38215.0","465.0","72.0","8.0"
"PG","BKK","USM","34287.0","102.0","49191.0","36865.0","5686252.0","1031812.0","Jun2013","506.0","62370.0","123.26086956521739","34990.0","465.0","72.0","8.0"
"TG","BKK","HKT","39334.0","105.0","49191.0","31857.0","5686252.0","369522.0","Jan2013","279.0","83824.0","300.44444444444446","22599.0","673.0","142.0","7.0"
"TG","BKK","HKT","40887.0","106.0","49191.0","31857.0","5686252.0","369522.0","Feb2013","280.0","80101.0","286.075","22652.0","673.0","142.0","7.0"
"TG","BKK","HKT","42289.0","92.0","49191.0","31857.0","5686252.0","369522.0","Mar2013","310.0","89116.0","287.4709677419355","25079.0","673.0","142.0","7.0"
"TG","BKK","HKT","36604.0","93.0","49191.0","31857.0","5686252.0","369522.0","Apr2013","313.0","91388.0","291.9744408945687","25310.0","673.0","142.0","7.0"
"TG","BKK","HKT","30745.0","82.0","49191.0","31857.0","5686252.0","369522.0","May2013","323.0","93532.0","289.57275541795667","26119.0","673.0","142.0","7.0"
"TG","BKK","HKT","28412.0","81.0","49191.0","31857.0","5686252.0","369522.0","Jun2013","327.0","94530.0","289.08256880733944","26430.0","673.0","142.0","7.0"
"FD","HKT","DMK","32342.0","57.0","31857.0","49191.0","369522.0","5686252.0","Jan2013","279","46872","168.0","22630","689.0","48.0","5.0"
"FD","HKT","DMK","28869.0","57.0","31857.0","49191.0","369522.0","5686252.0","Feb2013","252","42336","168.0","20440","689.0","48.0","5.0"
"FD","HKT","DMK","34034.0","54.0","31857.0","49191.0","369522.0","5686252.0","Mar2013","279","46872","168.0","22630","689.0","48.0","5.0"
"FD","HKT","DMK","33076.0","54.0","31857.0","49191.0","369522.0","5686252.0","Apr2013","271","45528","168.0","22200","689.0","48.0","5.0"
"FD","HKT","DMK","41897.0","50.0","31857.0","49191.0","369522.0","5686252.0","May2013","327","54936","168.0","27355","689.0","48.0","5.0"
"FD","HKT","DMK","46152.0","60.0","31857.0","49191.0","369522.0","5686252.0","Jun2013","358","60144","168.0","29935","689.0","48.0","5.0"
"DD","DMK","CNX","32038.0","60.0","49191.0","14393.0","5686252.0","1666888.0","Jan2013","310.0","57350.0","185.0","21700.0","565.0","164.0","7.0"
"DD","DMK","CNX","23865.0","61.0","49191.0","14393.0","5686252.0","1666888.0","Feb2013","224.0","41084.0","183.41071428571428","15680.0","565.0","164.0","7.0"
"DD","DMK","CNX","20103.0","61.0","49191.0","14393.0","5686252.0","1666888.0","Mar2013","187","35343","189.0","13090","565.0","164.0","7.0"
"DD","DMK","CNX","19330.0","62.0","49191.0","14393.0","5686252.0","1666888.0","Apr2013","184","34776","189.0","12880","565.0","164.0","7.0"
"DD","DMK","CNX","14580.0","63.0","49191.0","14393.0","5686252.0","1666888.0","May2013","155","29295","189.0","10850","565.0","164.0","7.0"
"DD","DMK","CNX","15017.0","64.0","49191.0","14393.0","5686252.0","1666888.0","Jun2013","150","28350","189.0","10500","565.0","164.0","7.0"
"FD","DMK","HKT","31839.0","57.0","49191.0","31857.0","5686252.0","369522.0","Jan2013","279","46872","168.0","22785","689.0","48.0","5.0"
"FD","DMK","HKT","28851.0","57.0","49191.0","31857.0","5686252.0","369522.0","Feb2013","252","42336","168.0","20580","689.0","48.0","5.0"
"FD","DMK","HKT","32835.0","54.0","49191.0","31857.0","5686252.0","369522.0","Mar2013","279","46872","168.0","22765","689.0","48.0","5.0"
"FD","DMK","HKT","32436.0","54.0","49191.0","31857.0","5686252.0","369522.0","Apr2013","271","45528","168.0","21575","689.0","48.0","5.0"
"FD","DMK","HKT","41119.0","50.0","49191.0","31857.0","5686252.0","369522.0","May2013","327","54936","168.0","26075","689.0","48.0","5.0"
"FD","DMK","HKT","45612.0","60.0","49191.0","31857.0","5686252.0","369522.0","Jun2013","358","60144","168.0","28490","689.0","48.0","5.0"
"DD","CNX","DMK","31783.0","60.0","14393.0","49191.0","1666888.0","5686252.0","Jan2013","310.0","57350.0","185.0","20150.0","565.0","164.0","7.0"
