"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"PG","USM","BKK","59510.0","106.0","36865.0","49191.0","1031812.0","5686252.0","Jan2013","706.0","82128.0","116.328611898017","52480.0","465.0","72.0","8.0"
"TG","CNX","BKK","56842.0","116.0","14393.0","49191.0","1666888.0","5686252.0","Jan2013","310.0","89039.0","287.2225806451613","22630.0","565.0","142.0","7.0"
"TG","HKT","BKK","49391.0","126.0","31857.0","49191.0","369522.0","5686252.0","Jan2013","295.0","90048.0","305.24745762711865","25385.0","673.0","142.0","7.0"
"TG","BKK","CNX","47426.0","98.0","49191.0","14393.0","5686252.0","1666888.0","Jan2013","310.0","89039.0","287.2225806451613","22630.0","565.0","142.0","7.0"
"PG","BKK","USM","45585.0","107.0","49191.0","36865.0","5686252.0","1031812.0","Jan2013","675.0","77664.0","115.05777777777777","50320.0","465.0","72.0","8.0"
"TG","BKK","HKT","39334.0","105.0","49191.0","31857.0","5686252.0","369522.0","Jan2013","279.0","83824.0","300.44444444444446","22599.0","673.0","142.0","7.0"
"FD","HKT","DMK","32342.0","57.0","31857.0","49191.0","369522.0","5686252.0","Jan2013","279","46872","168.0","22630","689.0","48.0","5.0"
"DD","DMK","CNX","32038.0","60.0","49191.0","14393.0","5686252.0","1666888.0","Jan2013","310.0","57350.0","185.0","21700.0","565.0","164.0","7.0"
"FD","DMK","HKT","31839.0","57.0","49191.0","31857.0","5686252.0","369522.0","Jan2013","279","46872","168.0","22785","689.0","48.0","5.0"
"DD","CNX","DMK","31783.0","60.0","14393.0","49191.0","1666888.0","5686252.0","Jan2013","310.0","57350.0","185.0","20150.0","565.0","164.0","7.0"
"FD","CNX","DMK","27981.0","50.0","14393.0","49191.0","1666888.0","5686252.0","Jan2013","266","44688","168.0","20105","565.0","48.0","5.0"
"FD","DMK","CNX","26204.0","50.0","49191.0","14393.0","5686252.0","1666888.0","Jan2013","266","44688","168.0","19550","565.0","48.0","5.0"
"FD","HDY","DMK","25484.0","62.0","26824.0","49191.0","1389890.0","5686252.0","Jan2013","217","36456","168.0","18290","772.0","48.0","5.0"
"FD","DMK","HDY","24351.0","62.0","49191.0","26824.0","5686252.0","1389890.0","Jan2013","217","36456","168.0","18445","772.0","48.0","5.0"
"PG","HKT","BKK","24151.0","116.0","31857.0","49191.0","369522.0","5686252.0","Jan2013","217","35154","162.0","18445","673.0","72.0","8.0"
"DD","DMK","HDY","22442.0","71.0","49191.0","26824.0","5686252.0","1389890.0","Jan2013","217.0","39773.0","183.28571428571428","18445.0","772.0","164.0","7.0"
"DD","HDY","DMK","22437.0","71.0","26824.0","49191.0","1389890.0","5686252.0","Jan2013","217.0","39773.0","183.28571428571428","18445.0","772.0","164.0","7.0"
"TG","KKC","BKK","22225.0","105.0","18095.0","49191.0","1781655.0","5686252.0","Jan2013","124","30628","247.0","6975","367.0","142.0","7.0"
"TG","BKK","KKC","20543.0","105.0","49191.0","18095.0","5686252.0","1781655.0","Jan2013","124","30628","247.0","6975","367.0","142.0","7.0"
"PG","BKK","HKT","20254.0","102.0","49191.0","31857.0","5686252.0","369522.0","Jan2013","217","35154","162.0","18445","673.0","72.0","8.0"
"FD","DMK","KBV","17423.0","56.0","49191.0","27276.0","5686252.0","450890.0","Jan2013","155","26040","168.0","12400","666.0","48.0","5.0"
"PG","BKK","CNX","17262.0","92.0","49191.0","14393.0","5686252.0","1666888.0","Jan2013","186.0","28512.0","153.29032258064515","13950.0","565.0","72.0","8.0"
"FD","KBV","DMK","16870.0","56.0","27276.0","49191.0","450890.0","5686252.0","Jan2013","155","26040","168.0","11780","666.0","48.0","5.0"
"PG","CNX","BKK","16632.0","112.0","14393.0","49191.0","1666888.0","5686252.0","Jan2013","155.0","24084.0","155.38064516129032","12400.0","565.0","72.0","8.0"
