Op Airlines,Original,Destination,Passenger,Fare,Income Original,Income Destination,Population Original,Population Destination,Date,Flight Frequency,Total Seat,Seat/Dep,Time,AVG KM
PG,USM,BKK,59510,106,36865,49191,1031812,5686252,Jan2013,706,82128,116.328611898,52480,465
TG,CNX,BKK,56842,116,14393,49191,1666888,5686252,Jan2013,310,89039,287.2225806452,22630,565
TG,HKT,BKK,49391,126,31857,49191,369522,5686252,Jan2013,295,90048,305.2474576271,25385,673
TG,BKK,CNX,47426,98,49191,14393,5686252,1666888,Jan2013,310,89039,287.2225806452,22630,565
PG,BKK,USM,45585,107,49191,36865,5686252,1031812,Jan2013,675,77664,115.0577777778,50320,465
TG,BKK,HKT,39334,105,49191,31857,5686252,369522,Jan2013,279,83824,300.4444444444,22599,673
FD,HKT,DMK,32342,57,31857,49191,369522,5686252,Jan2013,279,46872,168,22630,689
DD,DMK,CNX,32038,60,49191,14393,5686252,1666888,Jan2013,310,57350,185,21700,565
FD,DMK,HKT,31839,57,49191,31857,5686252,369522,Jan2013,279,46872,168,22785,689
DD,CNX,DMK,31783,60,14393,49191,1666888,5686252,Jan2013,310,57350,185,20150,565
FD,CNX,DMK,27981,50,14393,49191,1666888,5686252,Jan2013,266,44688,168,20105,565
FD,DMK,CNX,26204,50,49191,14393,5686252,1666888,Jan2013,266,44688,168,19550,565
FD,HDY,DMK,25484,62,26824,49191,1389890,5686252,Jan2013,217,36456,168,18290,772
FD,DMK,HDY,24351,62,49191,26824,5686252,1389890,Jan2013,217,36456,168,18445,772
PG,HKT,BKK,24151,116,31857,49191,369522,5686252,Jan2013,217,35154,162,18445,673
DD,DMK,HDY,22442,71,49191,26824,5686252,1389890,Jan2013,217,39773,183.2857142857,18445,772
DD,HDY,DMK,22437,71,26824,49191,1389890,5686252,Jan2013,217,39773,183.2857142857,18445,772
TG,KKC,BKK,22225,105,18095,49191,1781655,5686252,Jan2013,124,30628,247,6975,367
TG,BKK,KKC,20543,105,49191,18095,5686252,1781655,Jan2013,124,30628,247,6975,367
PG,BKK,HKT,20254,102,49191,31857,5686252,369522,Jan2013,217,35154,162,18445,673
FD,DMK,KBV,17423,56,49191,27276,5686252,450890,Jan2013,155,26040,168,12400,666
PG,BKK,CNX,17262,92,49191,14393,5686252,1666888,Jan2013,186,28512,153.2903225806,13950,565
FD,KBV,DMK,16870,56,27276,49191,450890,5686252,Jan2013,155,26040,168,11780,666
PG,CNX,BKK,16632,112,14393,49191,1666888,5686252,Jan2013,155,24084,155.3806451613,12400,565
TG,KBV,BKK,15980,124,27276,49191,450890,5686252,Jan2013,171,29754,174,13680,649
DD,UTH,DMK,15933,53,25966,49191,1563964,5686252,Jan2013,155,29295,189,9300,451
DD,NST,DMK,15696,62,27479,49191,1541843,5686252,Jan2013,155,27695,178.6774193548,10850,610
DD,DMK,UTH,15668,53,49191,25966,5686252,1563964,Jan2013,155,29295,189,10075,451
