Travel Month,Travel Year,Op Airline Code,Airline Code,Origin Code,Origin Name,Destination Name,Destination Code,Thru Point Name,Thru Point Code,Equipment Code,Equipment Name,Flights,Seats,Seats/ Dep,Block Mins,Average KMs
Jan 2013,2013,8B,8B,KBV,"Krabi, TH","Phuket, TH",HKT,,,763,763 (B767-300 Passenger),1,251,251,30,74
Jan 2013,2013,DD,DD,BFV,"Buriram, TH","Bangkok, TH",DMK,,,SF3,SF3 (Saab 340),13,442,34,845,296
Jan 2013,2013,DD,DD,CEI,"Chiang Rai, TH","Bangkok, TH",DMK,,,738,738 (B737-800 Passenger),93,17577,189,6975,666
Jan 2013,2013,DD,DD,CJM,"Chumphon, TH","Bangkok, TH",DMK,,,SF3,SF3 (Saab 340),31,1054,34,2170,380
Jan 2013,2013,DD,DD,CNX,"Chiang Mai, TH","Bangkok, TH",DMK,,,734,734 (B737-400),31,4619,149,2015,565
Jan 2013,2013,DD,DD,CNX,"Chiang Mai, TH","Bangkok, TH",DMK,,,738,738 (B737-800 Passenger),279,52731,189,18135,565
Jan 2013,2013,DD,DD,CNX,"Chiang Mai, TH","Hat Yai, TH",HDY,,,738,738 (B737-800 Passenger),31,5859,189,3875,1320
Jan 2013,2013,DD,DD,CNX,"Chiang Mai, TH","Mae Hong Son, TH",HGN,,,SF3,SF3 (Saab 340),124,4216,34,4340,119
Jan 2013,2013,DD,DD,CNX,"Chiang Mai, TH","Mae Sot, TH",MAQ,,,SF3,SF3 (Saab 340),31,1054,34,1550,196
Jan 2013,2013,DD,DD,CNX,"Chiang Mai, TH","Udon Thani, TH",UTH,,,SF3,SF3 (Saab 340),93,3162,34,7440,433
Jan 2013,2013,DD,DD,DMK,"Bangkok, TH","Buriram, TH",BFV,,,SF3,SF3 (Saab 340),13,442,34,845,296
Jan 2013,2013,DD,DD,DMK,"Bangkok, TH","Chiang Mai, TH",CNX,,,734,734 (B737-400),31,4619,149,2170,565
Jan 2013,2013,DD,DD,DMK,"Bangkok, TH","Chiang Mai, TH",CNX,,,738,738 (B737-800 Passenger),279,52731,189,19530,565
Jan 2013,2013,DD,DD,DMK,"Bangkok, TH","Chiang Rai, TH",CEI,,,738,738 (B737-800 Passenger),93,17577,189,6975,666
Jan 2013,2013,DD,DD,DMK,"Bangkok, TH","Chumphon, TH",CJM,,,SF3,SF3 (Saab 340),31,1054,34,2170,380
Jan 2013,2013,DD,DD,DMK,"Bangkok, TH","Hat Yai, TH",HDY,,,734,734 (B737-400),31,4619,149,2635,772
Jan 2013,2013,DD,DD,DMK,"Bangkok, TH","Hat Yai, TH",HDY,,,738,738 (B737-800 Passenger),186,35154,189,15810,772
Jan 2013,2013,DD,DD,DMK,"Bangkok, TH","Loei, TH",LOE,,,AT7,AT7 (ATR-72),31,2046,66,2325,410
Jan 2013,2013,DD,DD,DMK,"Bangkok, TH","Mae Sot, TH",MAQ,,,SF3,SF3 (Saab 340),62,2108,34,4650,380
Jan 2013,2013,DD,DD,DMK,"Bangkok, TH","Nakhon Phanom, TH",KOP,,,AT7,AT7 (ATR-72),61,4026,66,6100,579
Jan 2013,2013,DD,DD,DMK,"Bangkok, TH","Nakhon Phanom, TH",KOP,,,SF3,SF3 (Saab 340),1,34,34,100,579
