"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"PG","USM","BKK","55025.0","131.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Feb2014","562.0","65672.0","116.8540925266904","40630.0","465.0","72.0","8.0"
"PG","USM","BKK","43049.0","123.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Apr2014","619.0","71646.0","115.74474959612277","44735.0","465.0","72.0","8.0"
"PG","USM","BKK","36536.0","119.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","May2014","518.0","64206.0","123.94980694980696","35770.0","465.0","72.0","8.0"
"PG","USM","BKK","33833.0","111.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Jun2014","479.0","58144.0","121.38622129436325","33635.0","465.0","72.0","8.0"
"PG","USM","BKK","43459.0","118.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Jul2014","579.0","69084.0","119.3160621761658","41160.0","465.0","72.0","8.0"
"PG","USM","BKK","32285.0","105.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Sep2014","566.0","66436.0","117.37809187279152","40490.0","465.0","72.0","8.0"
"PG","USM","BKK","38476.0","96.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Oct2014","553.0","65442.0","118.33996383363473","39695.0","465.0","72.0","8.0"
"PG","USM","BKK","26675.0","92.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Nov2014","451.0","51698.0","114.62971175166297","32590.0","465.0","72.0","8.0"
"PG","USM","BKK","36200.0","92.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Dec2014","619.0","69550.0","112.35864297253634","45360.0","465.0","72.0","8.0"
"TG","CNX","BKK","56842.0","116.0","14393.0","49191.0","1666888.0","5686252.0","Jan2013","310.0","89039.0","287.2225806451613","22630.0","565.0","142.0","7.0"
"TG","CNX","BKK","34916.0","80.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","Nov2014","204.0","64531.0","316.328431372549","14850.0","565.0","142.0","7.0"
"TG","HKT","BKK","49391.0","126.0","31857.0","49191.0","369522.0","5686252.0","Jan2013","295.0","90048.0","305.24745762711865","25385.0","673.0","142.0","7.0"
"TG","HKT","BKK","44216.0","133.0","31857.0","49191.0","369522.0","5686252.0","Feb2013","296.0","86213.0","291.26013513513516","25440.0","673.0","142.0","7.0"
"TG","HKT","BKK","45551.0","119.0","31857.0","49191.0","369522.0","5686252.0","Mar2013","330.0","96497.0","292.41515151515154","28360.0","673.0","142.0","7.0"
"TG","HKT","BKK","28143.0","81.0","30867.515044248","48842.9433628325","378364.0","5692284.0","Nov2014","270.0","82532.0","305.6740740740741","23100.0","673.0","142.0","7.0"
"TG","HKT","BKK","31682.0","85.0","30867.515044248","48842.9433628325","378364.0","5692284.0","Dec2014","293.0","91237.0","311.38907849829354","25060.0","673.0","142.0","7.0"
"TG","BKK","CNX","47426.0","98.0","49191.0","14393.0","5686252.0","1666888.0","Jan2013","310.0","89039.0","287.2225806451613","22630.0","565.0","142.0","7.0"
"TG","BKK","CNX","34203.0","80.0","48842.9433628325","16686.0495575225","5692284.0","1678284.0","Nov2014","204.0","64531.0","316.328431372549","14850.0","565.0","142.0","7.0"
"PG","BKK","USM","44919.0","108.0","49191.0","36865.0","5686252.0","1031812.0","Mar2013","608.0","69052.0","113.57236842105263","45615.0","465.0","72.0","8.0"
