"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"TG","CNX","BKK","51992.0","124.0","14393.0","49191.0","1666888.0","5686252.0","Feb2013","280.0","80443.0","287.2964285714286","20440.0","565.0","142.0","7.0"
"TG","BKK","CNX","45121.0","99.0","49191.0","14393.0","5686252.0","1666888.0","Feb2013","280.0","80443.0","287.2964285714286","20440.0","565.0","142.0","7.0"
"TG","BKK","HKT","36604.0","93.0","49191.0","31857.0","5686252.0","369522.0","Apr2013","313.0","91388.0","291.9744408945687","25310.0","673.0","142.0","7.0"
"FD","HKT","DMK","44929.0","65.0","31857.0","49191.0","369522.0","5686252.0","Jul2013","372","62496","168.0","31115","689.0","48.0","5.0"
"FD","HKT","DMK","45255.0","66.0","31857.0","49191.0","369522.0","5686252.0","Aug2013","372","62496","168.0","31110","689.0","48.0","5.0"
"FD","HKT","DMK","44787.0","73.0","31857.0","49191.0","369522.0","5686252.0","Sep2013","360","60480","168.0","30105","689.0","48.0","5.0"
"FD","HKT","DMK","42637.0","64.0","31857.0","49191.0","369522.0","5686252.0","Nov2013","360","60480","168.0","28950","689.0","48.0","5.0"
"FD","HKT","DMK","43180.0","50.0","31857.0","49191.0","369522.0","5686252.0","Dec2013","372","62496","168.0","29915","689.0","48.0","5.0"
"FD","HKT","DMK","42118.0","49.0","30867.515044248","48842.9433628325","378364.0","5692284.0","Jan2014","372","62496","168.0","29915","689.0","48.0","5.0"
"FD","HKT","DMK","37578.0","45.0","30867.515044248","48842.9433628325","378364.0","5692284.0","Feb2014","336","56448","168.0","27020","689.0","48.0","5.0"
"DD","DMK","CNX","23865.0","61.0","49191.0","14393.0","5686252.0","1666888.0","Feb2013","224.0","41084.0","183.41071428571428","15680.0","565.0","164.0","7.0"
"DD","DMK","CNX","23482.0","73.0","48842.9433628325","16686.0495575225","5692284.0","1678284.0","Apr2014","240","45360","189.0","16800","565.0","164.0","7.0"
"DD","DMK","CNX","23039.0","74.0","48842.9433628325","16686.0495575225","5692284.0","1678284.0","May2014","248","46872","189.0","17360","565.0","164.0","7.0"
"FD","DMK","HKT","44493.0","65.0","49191.0","31857.0","5686252.0","369522.0","Jul2013","372","62496","168.0","29605","689.0","48.0","5.0"
"FD","DMK","HKT","44649.0","66.0","49191.0","31857.0","5686252.0","369522.0","Aug2013","372","62496","168.0","29605","689.0","48.0","5.0"
"FD","DMK","HKT","42867.0","71.0","49191.0","31857.0","5686252.0","369522.0","Sep2013","360","60480","168.0","28650","689.0","48.0","5.0"
"FD","DMK","HKT","41737.0","59.0","49191.0","31857.0","5686252.0","369522.0","Nov2013","360","60480","168.0","28950","689.0","48.0","5.0"
"FD","DMK","HKT","43002.0","50.0","49191.0","31857.0","5686252.0","369522.0","Dec2013","372","62496","168.0","29915","689.0","48.0","5.0"
"FD","DMK","HKT","42169.0","52.0","48842.9433628325","30867.515044248","5692284.0","378364.0","Jan2014","372","62496","168.0","29915","689.0","48.0","5.0"
"FD","DMK","HKT","36821.0","50.0","48842.9433628325","30867.515044248","5692284.0","378364.0","Feb2014","336","56448","168.0","27020","689.0","48.0","5.0"
"DD","CNX","DMK","24150.0","61.0","14393.0","49191.0","1666888.0","5686252.0","Feb2013","224.0","41084.0","183.41071428571428","14560.0","565.0","164.0","7.0"
"DD","CNX","DMK","24416.0","73.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","Apr2014","240","45360","189.0","15600","565.0","164.0","7.0"
"DD","CNX","DMK","23944.0","74.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","May2014","248","46872","189.0","16120","565.0","164.0","7.0"
"FD","CNX","DMK","40018.0","50.0","14393.0","49191.0","1666888.0","5686252.0","Dec2013","372","62496","168.0","28365","565.0","48.0","5.0"
"FD","CNX","DMK","38244.0","51.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","Jan2014","372","62496","168.0","28365","565.0","48.0","5.0"
"FD","CNX","DMK","34301.0","47.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","Feb2014","336","56448","168.0","25620","565.0","48.0","5.0"
"FD","CNX","DMK","37836.0","42.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","Mar2014","372","62496","168.0","28345","565.0","48.0","5.0"
"FD","CNX","DMK","40115.0","36.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","Oct2014","372","66960","180.0","27615","565.0","48.0","5.0"
"FD","DMK","CNX","38599.0","44.0","49191.0","14393.0","5686252.0","1666888.0","Dec2013","372","62496","168.0","28210","565.0","48.0","5.0"
"FD","DMK","CNX","37293.0","41.0","48842.9433628325","16686.0495575225","5692284.0","1678284.0","Jan2014","372","62496","168.0","28210","565.0","48.0","5.0"
"FD","DMK","CNX","33363.0","38.0","48842.9433628325","16686.0495575225","5692284.0","1678284.0","Feb2014","336","56448","168.0","25340","565.0","48.0","5.0"
"FD","DMK","CNX","36536.0","38.0","48842.9433628325","16686.0495575225","5692284.0","1678284.0","Mar2014","372","62496","168.0","28015","565.0","48.0","5.0"
"FD","DMK","CNX","40140.0","30.0","48842.9433628325","16686.0495575225","5692284.0","1678284.0","Oct2014","372","66960","180.0","27210","565.0","48.0","5.0"
"FD","DMK","CNX","37654.0","31.0","48842.9433628325","16686.0495575225","5692284.0","1678284.0","Nov2014","348","62640","180.0","26275","565.0","48.0","5.0"
"FD","HDY","DMK","27132.0","55.0","26824.0","49191.0","1389890.0","5686252.0","May2013","217","36456","168.0","19220","772.0","48.0","5.0"
"FD","HDY","DMK","25496.0","65.0","26824.0","49191.0","1389890.0","5686252.0","Jun2013","210","35280","168.0","18600","772.0","48.0","5.0"
"FD","HDY","DMK","24959.0","70.0","26824.0","49191.0","1389890.0","5686252.0","Aug2013","217","36456","168.0","19220","772.0","48.0","5.0"
"FD","HDY","DMK","31855.0","70.0","26824.0","49191.0","1389890.0","5686252.0","Nov2013","270","45360","168.0","22635","772.0","48.0","5.0"
"FD","HDY","DMK","32331.0","55.0","26824.0","49191.0","1389890.0","5686252.0","Dec2013","279","46872","168.0","23405","772.0","48.0","5.0"
"FD","HDY","DMK","32007.0","53.0","28551.653097346","48842.9433628325","1401303.0","5692284.0","Jan2014","279","46872","168.0","23405","772.0","48.0","5.0"
"FD","HDY","DMK","27761.0","49.0","28551.653097346","48842.9433628325","1401303.0","5692284.0","Feb2014","252","42336","168.0","21140","772.0","48.0","5.0"
"FD","HDY","DMK","31073.0","51.0","28551.653097346","48842.9433628325","1401303.0","5692284.0","Mar2014","279","46872","168.0","23485","772.0","48.0","5.0"
"FD","DMK","HDY","26898.0","55.0","49191.0","26824.0","5686252.0","1389890.0","May2013","217","36456","168.0","17515","772.0","48.0","5.0"
"FD","DMK","HDY","25774.0","65.0","49191.0","26824.0","5686252.0","1389890.0","Jun2013","210","35280","168.0","16950","772.0","48.0","5.0"
"FD","DMK","HDY","25045.0","70.0","49191.0","26824.0","5686252.0","1389890.0","Aug2013","217","36456","168.0","17515","772.0","48.0","5.0"
"FD","DMK","HDY","31679.0","56.0","49191.0","26824.0","5686252.0","1389890.0","Nov2013","270","45360","168.0","22950","772.0","48.0","5.0"
"FD","DMK","HDY","32552.0","40.0","49191.0","26824.0","5686252.0","1389890.0","Dec2013","279","46872","168.0","23715","772.0","48.0","5.0"
"FD","DMK","HDY","31639.0","39.0","48842.9433628325","28551.653097346","5692284.0","1401303.0","Jan2014","279","46872","168.0","23715","772.0","48.0","5.0"
"FD","DMK","HDY","28089.0","38.0","48842.9433628325","28551.653097346","5692284.0","1401303.0","Feb2014","252","42336","168.0","21420","772.0","48.0","5.0"
"FD","DMK","HDY","30855.0","44.0","48842.9433628325","28551.653097346","5692284.0","1401303.0","Mar2014","279","46872","168.0","23645","772.0","48.0","5.0"
"PG","HKT","BKK","18671.0","98.0","31857.0","49191.0","369522.0","5686252.0","Dec2013","248.0","40158.0","161.92741935483872","21080.0","673.0","72.0","8.0"
"PG","HKT","BKK","25888.0","113.0","30867.515044248","48842.9433628325","378364.0","5692284.0","Jan2014","248","40176","162.0","21080","673.0","72.0","8.0"
"PG","HKT","BKK","19546.0","106.0","30867.515044248","48842.9433628325","378364.0","5692284.0","Feb2014","224.0","36090.0","161.11607142857142","19040.0","673.0","72.0","8.0"
"PG","HKT","BKK","18936.0","99.0","30867.515044248","48842.9433628325","378364.0","5692284.0","Mar2014","248.0","39654.0","159.8951612903226","21080.0","673.0","72.0","8.0"
"PG","HKT","BKK","21874.0","86.0","30867.515044248","48842.9433628325","378364.0","5692284.0","May2014","248.0","40134.0","161.83064516129033","21080.0","673.0","72.0","8.0"
"PG","HKT","BKK","23974.0","77.0","30867.515044248","48842.9433628325","378364.0","5692284.0","Jun2014","240","38880","162.0","20400","673.0","72.0","8.0"
"DD","DMK","HDY","21798.0","93.0","48842.9433628325","28551.653097346","5692284.0","1401303.0","Jul2014","217","41013","189.0","18290","772.0","164.0","7.0"
"DD","DMK","HDY","23085.0","91.0","48842.9433628325","28551.653097346","5692284.0","1401303.0","Aug2014","217","41013","189.0","18290","772.0","164.0","7.0"
"DD","DMK","HDY","20837.0","88.0","48842.9433628325","28551.653097346","5692284.0","1401303.0","Sep2014","210","39690","189.0","17700","772.0","164.0","7.0"
"DD","HDY","DMK","21685.0","93.0","28551.653097346","48842.9433628325","1401303.0","5692284.0","Jul2014","217","41013","189.0","18445","772.0","164.0","7.0"
"DD","HDY","DMK","23001.0","91.0","28551.653097346","48842.9433628325","1401303.0","5692284.0","Aug2014","217","41013","189.0","18445","772.0","164.0","7.0"
"DD","HDY","DMK","20689.0","88.0","28551.653097346","48842.9433628325","1401303.0","5692284.0","Sep2014","210","39690","189.0","17850","772.0","164.0","7.0"
"TG","KKC","BKK","19012.0","113.0","18095.0","49191.0","1781655.0","5686252.0","Feb2013","112.0","25045.0","223.61607142857142","6300.0","367.0","142.0","7.0"
"TG","BKK","KKC","18453.0","112.0","49191.0","18095.0","5686252.0","1781655.0","Feb2013","112.0","25045.0","223.61607142857142","6300.0","367.0","142.0","7.0"
"PG","BKK","HKT","23367.0","97.0","49191.0","31857.0","5686252.0","369522.0","Dec2013","248.0","40158.0","161.92741935483872","21080.0","673.0","72.0","8.0"
"PG","BKK","HKT","20002.0","109.0","48842.9433628325","30867.515044248","5692284.0","378364.0","Jan2014","248","40176","162.0","21080","673.0","72.0","8.0"
"PG","BKK","HKT","18815.0","105.0","48842.9433628325","30867.515044248","5692284.0","378364.0","Feb2014","224.0","36090.0","161.11607142857142","19040.0","673.0","72.0","8.0"
"PG","BKK","HKT","17596.0","98.0","48842.9433628325","30867.515044248","5692284.0","378364.0","Mar2014","248.0","39654.0","159.8951612903226","21080.0","673.0","72.0","8.0"
"PG","BKK","HKT","22618.0","89.0","48842.9433628325","30867.515044248","5692284.0","378364.0","May2014","248.0","40134.0","161.83064516129033","21080.0","673.0","72.0","8.0"
