"TravelMonth","Op Airline Code","Origin Code","Destination Code","Flights","Seats","Seats/ Dep","Block Mins","Average KMs"
"Jan2013","8B","KBV","HKT","1","251","251.0","30","74.0"
"Jan2013","DD","BFV","DMK","13","442","34.0","845","296.0"
"Jan2013","DD","CEI","DMK","93","17577","189.0","6975","666.0"
"Jan2013","DD","CJM","DMK","31","1054","34.0","2170","380.0"
"Jan2013","DD","CNX","DMK","310.0","57350.0","185.0","20150.0","565.0"
"Jan2013","DD","CNX","HDY","31","5859","189.0","3875","1320.0"
"Jan2013","DD","CNX","HGN","124","4216","34.0","4340","119.0"
"Jan2013","DD","CNX","MAQ","31","1054","34.0","1550","196.0"
"Jan2013","DD","CNX","UTH","93","3162","34.0","7440","433.0"
"Jan2013","DD","DMK","BFV","13","442","34.0","845","296.0"
"Jan2013","DD","DMK","CNX","310.0","57350.0","185.0","21700.0","565.0"
"Jan2013","DD","DMK","CEI","93","17577","189.0","6975","666.0"
"Jan2013","DD","DMK","CJM","31","1054","34.0","2170","380.0"
"Jan2013","DD","DMK","HDY","217.0","39773.0","183.28571428571428","18445.0","772.0"
"Jan2013","DD","DMK","LOE","31","2046","66.0","2325","410.0"
"Jan2013","DD","DMK","MAQ","62","2108","34.0","4650","380.0"
"Jan2013","DD","DMK","KOP","62.0","4060.0","65.48387096774194","6200.0","579.0"
"Jan2013","DD","DMK","NST","155.0","27695.0","178.67741935483872","10850.0","610.0"
"Jan2013","DD","DMK","NNT","93.0","4186.0","45.01075268817204","8835.0","541.0"
"Jan2013","DD","DMK","PHS","120.0","8252.0","68.76666666666667","8320.0","320.0"
"Jan2013","DD","DMK","PRH","18","612","34.0","1530","470.0"
"Jan2013","DD","DMK","HKT","93","17577","189.0","7440","689.0"
"Jan2013","DD","DMK","ROI","62","2108","34.0","4650","418.0"
"Jan2013","DD","DMK","SNO","89","5874","66.0","8010","521.0"
"Jan2013","DD","DMK","URT","124.0","22196.0","179.0","8680.0","552.0"
"Jan2013","DD","DMK","TST","62.0","11558.0","186.41935483870967","4960.0","718.0"
"Jan2013","DD","DMK","UBP","124.0","22036.0","177.70967741935485","8060.0","483.0"
"Jan2013","DD","DMK","UTH","155","29295","189.0","10075","451.0"
"Jan2013","DD","HDY","DMK","217.0","39773.0","183.28571428571428","18445.0","772.0"
"Jan2013","DD","HDY","CNX","31","5859","189.0","4030","1320.0"
"Jan2013","DD","HGN","CNX","124","4216","34.0","4340","119.0"
"Jan2013","DD","HKT","DMK","93","17577","189.0","7440","689.0"
"Jan2013","DD","KOP","DMK","62.0","4060.0","65.48387096774194","6200.0","579.0"
"Jan2013","DD","LOE","DMK","31","2046","66.0","2325","410.0"
"Jan2013","DD","MAQ","DMK","62","2108","34.0","4650","380.0"
"Jan2013","DD","MAQ","CNX","31","1054","34.0","1550","196.0"
"Jan2013","DD","NNT","DMK","93.0","4186.0","45.01075268817204","8835.0","541.0"
"Jan2013","DD","NST","DMK","155.0","27695.0","178.67741935483872","10850.0","610.0"
"Jan2013","DD","PHS","DMK","120.0","8252.0","68.76666666666667","8320.0","320.0"
"Jan2013","DD","PRH","DMK","18","612","34.0","1530","470.0"
"Jan2013","DD","ROI","DMK","62","2108","34.0","4650","418.0"
"Jan2013","DD","SNO","DMK","89","5874","66.0","8010","521.0"
"Jan2013","DD","TST","DMK","62.0","11558.0","186.41935483870967","4960.0","718.0"
"Jan2013","DD","UBP","DMK","124.0","22036.0","177.70967741935485","7440.0","483.0"
"Jan2013","DD","URT","DMK","124.0","22196.0","179.0","8680.0","552.0"
"Jan2013","DD","UTH","DMK","155","29295","189.0","9300","451.0"
"Jan2013","DD","UTH","CNX","93","3162","34.0","7440","433.0"
"Jan2013","E8","CNX","HKT","8","1192","149.0","720","1181.0"
"Jan2013","E8","HKT","CNX","8","1192","149.0","720","1181.0"
"Jan2013","FD","CEI","DMK","93","15624","168.0","7440","666.0"
"Jan2013","FD","CNX","DMK","266","44688","168.0","20105","565.0"
"Jan2013","FD","CNX","HDY","31","5208","168.0","3875","1320.0"
"Jan2013","FD","CNX","HKT","62","10416","168.0","7750","1181.0"
"Jan2013","FD","CNX","UBP","13","2184","168.0","975","740.0"
"Jan2013","FD","DMK","CNX","266","44688","168.0","19550","565.0"
"Jan2013","FD","DMK","CEI","93","15624","168.0","7440","666.0"
"Jan2013","FD","DMK","HDY","217","36456","168.0","18445","772.0"
"Jan2013","FD","DMK","KBV","155","26040","168.0","12400","666.0"
"Jan2013","FD","DMK","KOP","31","5208","168.0","2325","579.0"
"Jan2013","FD","DMK","NST","62","10416","168.0","4805","610.0"
"Jan2013","FD","DMK","NAW","31","5208","168.0","2790","838.0"
"Jan2013","FD","DMK","HKT","279","46872","168.0","22785","689.0"
"Jan2013","FD","DMK","URT","93","15624","168.0","6665","552.0"
"Jan2013","FD","DMK","TST","93","15624","168.0","7905","718.0"
"Jan2013","FD","DMK","UBP","62","10416","168.0","4185","483.0"
"Jan2013","FD","DMK","UTH","93","15624","168.0","6200","451.0"
"Jan2013","FD","HDY","DMK","217","36456","168.0","18290","772.0"
"Jan2013","FD","HDY","CNX","31","5208","168.0","3720","1320.0"
"Jan2013","FD","HKT","DMK","279","46872","168.0","22630","689.0"
"Jan2013","FD","HKT","CNX","62","10416","168.0","7130","1181.0"
"Jan2013","FD","HKT","UTH","31","5208","168.0","3255","1135.0"
"Jan2013","FD","KBV","DMK","155","26040","168.0","11780","666.0"
"Jan2013","FD","KOP","DMK","31","5208","168.0","2325","579.0"
"Jan2013","FD","NAW","DMK","31","5208","168.0","2790","838.0"
"Jan2013","FD","NST","DMK","62","10416","168.0","4805","610.0"
"Jan2013","FD","TST","DMK","93","15624","168.0","7905","718.0"
"Jan2013","FD","UBP","DMK","62","10416","168.0","4030","483.0"
"Jan2013","FD","UBP","CNX","13","2184","168.0","910","740.0"
"Jan2013","FD","URT","DMK","93","15624","168.0","6820","552.0"
"Jan2013","FD","UTH","DMK","93","15624","168.0","6200","451.0"
