"Op Airlines","Original","Destination","Passenger","Fare","Income Original","Income Destination","Population Original","Population Destination","Date","Flight Frequency","Total Seat","Seat/Dep","Time","AVG KM","Number Of Review","Airlines Score"
"PG","BKK","CEI","811.0","125.0","48842.9433628325","14492.7115044248","5692284.0","1207699.0","Mar2014","8.0","1200.0","150.0","640.0","666.0","72.0","8.0"
"PG","BKK","UTH","477.0","116.0","49191.0","25966.0","5686252.0","1563964.0","Nov2013","4","552","138.0","260","451.0","72.0","8.0"
"PG","CEI","BKK","742.0","135.0","14492.7115044248","48842.9433628325","1207699.0","5692284.0","Mar2014","8.0","1200.0","150.0","640.0","666.0","72.0","8.0"
"PG","UTH","BKK","409.0","117.0","25966.0","49191.0","1563964.0","5686252.0","Nov2013","4","552","138.0","260","451.0","72.0","8.0"
"SL","CNX","DMK","26731.0","73.0","16686.0495575225","48842.9433628325","1678284.0","5692284.0","Apr2014","210","45150","215.0","15750","565.0","53.0","6.0"
"SL","KBV","DMK","3588.0","77.0","30604.288495576","48842.9433628325","456811.0","5692284.0","Oct2014","29","6235","215.0","2610","666.0","53.0","6.0"
"SL","HKT","DMK","4137.0","77.0","30867.515044248","48842.9433628325","378364.0","5692284.0","Oct2014","31","6665","215.0","2680","689.0","53.0","6.0"
"SL","HDY","DMK","21564.0","82.0","28551.653097346","48842.9433628325","1401303.0","5692284.0","Apr2014","168","36120","215.0","13440","772.0","53.0","6.0"
"SL","CEI","DMK","11059.0","69.0","13497.0","45572.0","1277950.0","5696409.0","May2015","93","19995","215.0","7440","666.0","53.0","6.0"
"SL","UBP","DMK","10937.0","65.0","20453.0","45572.0","1857429.0","5696409.0","Aug2015","88","18920","215.0","5720","483.0","53.0","6.0"
"SL","NST","DMK","5727.0","69.0","25124.0","45572.0","1552530.0","5696409.0","Sep2015","60","10140","169.0","4350","610.0","53.0","6.0"
"SL","URT","DMK","7337.0","71.0","37405.4265486728","48842.9433628325","1040230.0","5692284.0","Oct2014","60","12900","215.0","4075","552.0","53.0","6.0"
"SL","UTH","DMK","8543.0","67.0","23995.8796460181","48842.9433628325","1570300.0","5692284.0","Oct2014","78","16770","215.0","4620","451.0","53.0","6.0"
"SL","DMK","CNX","27129.0","73.0","48842.9433628325","16686.0495575225","5692284.0","1678284.0","Apr2014","210","45150","215.0","15750","565.0","53.0","6.0"
"SL","DMK","KBV","3866.0","77.0","48842.9433628325","30604.288495576","5692284.0","456811.0","Oct2014","29","6235","215.0","2465","666.0","53.0","6.0"
"SL","DMK","HKT","3837.0","77.0","48842.9433628325","30867.515044248","5692284.0","378364.0","Oct2014","31","6665","215.0","2845","689.0","53.0","6.0"
"SL","DMK","HDY","21169.0","82.0","48842.9433628325","28551.653097346","5692284.0","1401303.0","Apr2014","168","36120","215.0","13440","772.0","53.0","6.0"
"SL","DMK","CEI","11143.0","69.0","45572.0","13497.0","5696409.0","1277950.0","May2015","93","19995","215.0","7750","666.0","53.0","6.0"
"SL","DMK","UBP","11768.0","65.0","45572.0","20453.0","5696409.0","1857429.0","Aug2015","88","18920","215.0","5720","483.0","53.0","6.0"
"SL","DMK","NST","6289.0","69.0","45572.0","25124.0","5696409.0","1552530.0","Sep2015","60","10140","169.0","4200","610.0","53.0","6.0"
"SL","DMK","URT","7187.0","71.0","48842.9433628325","37405.4265486728","5692284.0","1040230.0","Oct2014","60","12900","215.0","4345","552.0","53.0","6.0"
"SL","DMK","UTH","9859.0","67.0","48842.9433628325","23995.8796460181","5692284.0","1570300.0","Oct2014","78","16770","215.0","5180","451.0","53.0","6.0"
